REGION,TECHNOLOGY,STORAGE,MODE_OF_OPERATION,VALUE
Ethiopia_Model_2019,PWRHYD002,DAM,1,0.0
Ethiopia_Model_2019,PWRHYD002,DAM,2,1.0
