REGION,FUEL,YEAR,VALUE
Ethiopia_Model_2019,ELCE002,2015,52.8768
Ethiopia_Model_2019,ELCE002,2016,67.4028
Ethiopia_Model_2019,ELCE002,2017,84.1068
Ethiopia_Model_2019,ELCE002,2018,98.9856
Ethiopia_Model_2019,ELCE002,2019,112.4964
Ethiopia_Model_2019,ELCE002,2020,125.8776
Ethiopia_Model_2019,ELCE002,2021,139.95
Ethiopia_Model_2019,ELCE002,2022,157.5612
Ethiopia_Model_2019,ELCE002,2023,168.5196
Ethiopia_Model_2019,ELCE002,2024,179.7048
Ethiopia_Model_2019,ELCE002,2025,191.5524
Ethiopia_Model_2019,ELCE002,2026,204.4764
Ethiopia_Model_2019,ELCE002,2027,218.3004
Ethiopia_Model_2019,ELCE002,2028,233.3124
Ethiopia_Model_2019,ELCE002,2029,249.1452
Ethiopia_Model_2019,ELCE002,2030,265.7124
Ethiopia_Model_2019,ELCE002,2031,283.248
Ethiopia_Model_2019,ELCE002,2032,301.5828
Ethiopia_Model_2019,ELCE002,2033,320.5692
Ethiopia_Model_2019,ELCE002,2034,340.1316
Ethiopia_Model_2019,ELCE002,2035,360.2988
Ethiopia_Model_2019,ELCE002,2036,381.0744
Ethiopia_Model_2019,ELCE002,2037,400.9968
Ethiopia_Model_2019,ELCN002,2015,0.0
Ethiopia_Model_2019,ELCN002,2016,0.0
Ethiopia_Model_2019,ELCN002,2017,0.0
Ethiopia_Model_2019,ELCN002,2018,0.0
Ethiopia_Model_2019,ELCN002,2019,14.624532
Ethiopia_Model_2019,ELCN002,2020,16.364088
Ethiopia_Model_2019,ELCN002,2021,18.1935
Ethiopia_Model_2019,ELCN002,2022,20.482956
Ethiopia_Model_2019,ELCN002,2023,21.907548
Ethiopia_Model_2019,ELCN002,2024,23.361624
Ethiopia_Model_2019,ELCN002,2025,24.901812
Ethiopia_Model_2019,ELCN002,2026,26.581932
Ethiopia_Model_2019,ELCN002,2027,28.379052
Ethiopia_Model_2019,ELCN002,2028,30.330612
Ethiopia_Model_2019,ELCN002,2029,32.388876
Ethiopia_Model_2019,ELCN002,2030,34.542612
Ethiopia_Model_2019,ELCN002,2031,36.82224
Ethiopia_Model_2019,ELCN002,2032,39.205764
Ethiopia_Model_2019,ELCN002,2033,41.673996
Ethiopia_Model_2019,ELCN002,2034,44.217108
Ethiopia_Model_2019,ELCN002,2035,46.838844
Ethiopia_Model_2019,ELCN002,2036,49.539672
Ethiopia_Model_2019,ELCN002,2037,52.129584
