TIMESLICE,YEAR,VALUE
DND1,2032,0.089285714
DND1,2033,0.089285714
DND1,2034,0.089285714
DND1,2035,0.089285714
DND1,2036,0.089285714
DND1,2037,0.089285714
DND1,2038,0.089285714
DND1,2039,0.089285714
DND1,2040,0.089285714
DND1,2041,0.089285714
DND1,2042,0.089285714
DND1,2043,0.089285714
DND1,2044,0.089285714
DND1,2045,0.089285714
DND1,2046,0.089285714
DND1,2047,0.089285714
DND1,2048,0.089285714
DND1,2049,0.089285714
DND1,2050,0.089285714
DND1,2051,0.089285714
DND1,2052,0.089285714
DND1,2053,0.089285714
DND1,2054,0.089285714
DND1,2055,0.089285714
DND1,2056,0.089285714
DND1,2057,0.089285714
DND1,2058,0.089285714
DND1,2059,0.089285714
DND1,2060,0.089285714
DND1,2061,0.089285714
DND1,2062,0.089285714
DND1,2063,0.089285714
DND1,2064,0.089285714
DND1,2065,0.089285714
DND2,2015,0.089285714
DND2,2016,0.089285714
DND2,2017,0.089285714
DND2,2018,0.089285714
DND2,2019,0.089285714
DND2,2020,0.089285714
DND2,2021,0.089285714
DND2,2022,0.089285714
DND2,2023,0.089285714
DND2,2024,0.089285714
DND2,2025,0.089285714
DND2,2026,0.089285714
DND2,2027,0.089285714
DND2,2028,0.089285714
DND2,2029,0.089285714
DND2,2030,0.089285714
DND2,2031,0.089285714
DND2,2032,0.089285714
DND2,2033,0.089285714
DND2,2034,0.089285714
DND2,2035,0.089285714
DND2,2036,0.089285714
DND2,2037,0.089285714
DND2,2038,0.089285714
DND2,2039,0.089285714
DND2,2040,0.089285714
DND2,2041,0.089285714
DND2,2042,0.089285714
DND2,2043,0.089285714
DND2,2044,0.089285714
DND2,2045,0.089285714
DND2,2046,0.089285714
DND2,2047,0.089285714
DND2,2048,0.089285714
DND2,2049,0.089285714
DND2,2050,0.089285714
DND2,2051,0.089285714
DND2,2052,0.089285714
DND2,2053,0.089285714
DND2,2054,0.089285714
DND2,2055,0.089285714
DND2,2056,0.089285714
DND2,2057,0.089285714
DND2,2058,0.089285714
DND2,2059,0.089285714
DND2,2060,0.089285714
DND2,2061,0.089285714
DND2,2062,0.089285714
DND2,2063,0.089285714
DND2,2064,0.089285714
DND2,2065,0.089285714
DNE1,2015,0.035714286
DNE1,2016,0.035714286
DNE1,2017,0.035714286
DNE1,2018,0.035714286
DNE1,2019,0.035714286
DNE1,2020,0.035714286
DNE1,2021,0.035714286
DNE1,2022,0.035714286
DNE1,2023,0.035714286
DNE1,2024,0.035714286
DNE1,2025,0.035714286
DNE1,2026,0.035714286
DNE1,2027,0.035714286
DNE1,2028,0.035714286
DNE1,2029,0.035714286
DNE1,2030,0.035714286
DNE1,2031,0.035714286
DNE1,2032,0.035714286
DNE1,2033,0.035714286
DNE1,2034,0.035714286
DNE1,2035,0.035714286
DNE1,2036,0.035714286
DNE1,2037,0.035714286
DNE1,2038,0.035714286
DNE1,2039,0.035714286
DNE1,2040,0.035714286
DNE1,2041,0.035714286
DNE1,2042,0.035714286
DNE1,2043,0.035714286
DNE1,2044,0.035714286
DNE1,2045,0.035714286
DNE1,2046,0.035714286
DNE1,2047,0.035714286
DNE1,2048,0.035714286
DNE1,2049,0.035714286
DNE1,2050,0.035714286
DNE1,2051,0.035714286
DNE1,2052,0.035714286
DNE1,2053,0.035714286
DNE1,2054,0.035714286
DNE1,2055,0.035714286
DNE1,2056,0.035714286
DNE1,2057,0.035714286
DNE1,2058,0.035714286
DNE1,2059,0.035714286
DNE1,2060,0.035714286
DNE1,2061,0.035714286
DNE1,2062,0.035714286
DNE1,2063,0.035714286
DNE1,2064,0.035714286
DNE1,2065,0.035714286
DNE2,2015,0.035714286
DNE2,2016,0.035714286
DNE2,2017,0.035714286
DNE2,2018,0.035714286
DNE2,2019,0.035714286
DNE2,2020,0.035714286
DNE2,2021,0.035714286
DNE2,2022,0.035714286
DNE2,2023,0.035714286
