REGION,TECHNOLOGY,VALUE
SIERRALEONE,Backstop1,1.0
SIERRALEONE,BIOGAS_PP,25.0
SIERRALEONE,COAL_PP,40.0
SIERRALEONE,DIESEL_PP,35.0
SIERRALEONE,DIS_SOLPV,25.0
SIERRALEONE,GAS_PP,30.0
SIERRALEONE,HDRO_DAM_PP,80.0
SIERRALEONE,HFO_PP,25.0
SIERRALEONE,HYDRO_PP,80.0
SIERRALEONE,IMP_COAL,1.0
SIERRALEONE,IMP_DIESEL,1.0
SIERRALEONE,IMP_ELEC,1.0
SIERRALEONE,IMP_GAS,1.0
SIERRALEONE,IMP_HFO,1.0
SIERRALEONE,PROD_BIOGAS,1.0
SIERRALEONE,RIVER,1.0
SIERRALEONE,SOLPV_PP,25.0
SIERRALEONE,TD,50.0
SIERRALEONE,WIND_PP,25.0
