REGION,TECHNOLOGY,STORAGE,MODE_OF_OPERATION,VALUE
SIERRALEONE,HDRO_DAM_PP,RESERVIOUR,1,0.0
SIERRALEONE,HDRO_DAM_PP,RESERVIOUR,2,1.0
