REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
Region,BACKSTOP,DDE1,2033,0.1
Region,BACKSTOP,DDE1,2034,0.1
Region,BACKSTOP,DDE1,2035,0.1
Region,BACKSTOP,DDE1,2036,0.1
Region,BACKSTOP,DDE1,2037,0.1
Region,BACKSTOP,DDE1,2038,0.1
Region,BACKSTOP,DDE1,2039,0.1
Region,BACKSTOP,DDE1,2040,0.1
Region,BACKSTOP,DDE1,2041,0.1
Region,BACKSTOP,DDE1,2042,0.1
Region,BACKSTOP,DDE1,2043,0.1
Region,BACKSTOP,DDE1,2044,0.1
Region,BACKSTOP,DDE1,2045,0.1
Region,BACKSTOP,DDE1,2046,0.1
Region,BACKSTOP,DDE1,2047,0.1
Region,BACKSTOP,DDE1,2048,0.1
Region,BACKSTOP,DDE1,2049,0.1
Region,BACKSTOP,DDE1,2050,0.1
Region,BACKSTOP,DDE1,2051,0.1
Region,BACKSTOP,DDE1,2052,0.1
Region,BACKSTOP,DDE1,2053,0.1
Region,BACKSTOP,DDE1,2054,0.1
Region,BACKSTOP,DDE1,2055,0.1
Region,BACKSTOP,DDE1,2056,0.1
Region,BACKSTOP,DDE1,2057,0.1
Region,BACKSTOP,DDE1,2058,0.1
Region,BACKSTOP,DDE1,2059,0.1
Region,BACKSTOP,DDE1,2060,0.1
Region,BACKSTOP,DDE1,2061,0.1
Region,BACKSTOP,DDE1,2062,0.1
Region,BACKSTOP,DDE1,2063,0.1
Region,BACKSTOP,DDE1,2064,0.1
Region,BACKSTOP,DDE1,2065,0.1
Region,BACKSTOP,DDE2,2015,0.1
Region,BACKSTOP,DDE2,2016,0.1
Region,BACKSTOP,DDE2,2017,0.1
Region,BACKSTOP,DDE2,2018,0.1
Region,BACKSTOP,DDE2,2019,0.1
Region,BACKSTOP,DDE2,2020,0.1
Region,BACKSTOP,DDE2,2021,0.1
Region,BACKSTOP,DDE2,2022,0.1
Region,BACKSTOP,DDE2,2023,0.1
Region,BACKSTOP,DDE2,2024,0.1
Region,BACKSTOP,DDE2,2025,0.1
Region,BACKSTOP,DDE2,2026,0.1
Region,BACKSTOP,DDE2,2027,0.1
Region,BACKSTOP,DDE2,2028,0.1
Region,BACKSTOP,DDE2,2029,0.1
Region,BACKSTOP,DDE2,2030,0.1
Region,BACKSTOP,DDE2,2031,0.1
Region,BACKSTOP,DDE2,2032,0.1
Region,BACKSTOP,DDE2,2033,0.1
Region,BACKSTOP,DDE2,2034,0.1
Region,BACKSTOP,DDE2,2035,0.1
Region,BACKSTOP,DDE2,2036,0.1
Region,BACKSTOP,DDE2,2037,0.1
Region,BACKSTOP,DDE2,2038,0.1
Region,BACKSTOP,DDE2,2039,0.1
Region,BACKSTOP,DDE2,2040,0.1
Region,BACKSTOP,DDE2,2041,0.1
Region,BACKSTOP,DDE2,2042,0.1
Region,BACKSTOP,DDE2,2043,0.1
Region,BACKSTOP,DDE2,2044,0.1
Region,BACKSTOP,DDE2,2045,0.1
Region,BACKSTOP,DDE2,2046,0.1
Region,BACKSTOP,DDE2,2047,0.1
