REGION,TECHNOLOGY,VALUE
Ethiopia_Model_2019,BackStop1,1.0
Ethiopia_Model_2019,BackStop2,1.0
Ethiopia_Model_2019,EXPELC001,31.536
Ethiopia_Model_2019,GEO,1.0
Ethiopia_Model_2019,IMPCOA,1.0
Ethiopia_Model_2019,IMPCRU001,1.0
Ethiopia_Model_2019,MINBIO001,1.0
Ethiopia_Model_2019,MINCOA,1.0
Ethiopia_Model_2019,MINCRU001,1.0
Ethiopia_Model_2019,MINNGS,1.0
Ethiopia_Model_2019,PWRBIO001,31.536
Ethiopia_Model_2019,PWRCOA001,31.536
Ethiopia_Model_2019,PWRGEO001,31.536
Ethiopia_Model_2019,PWRHFO001,31.536
Ethiopia_Model_2019,PWRHYD001,31.536
Ethiopia_Model_2019,PWRHYD002,31.536
Ethiopia_Model_2019,PWRNGS001,31.536
Ethiopia_Model_2019,PWRSOL001,31.536
Ethiopia_Model_2019,PWRTRN001,1.0
Ethiopia_Model_2019,PWRTRNE001,1.0
Ethiopia_Model_2019,PWRWND001,31.536
Ethiopia_Model_2019,PVSmall,31.536
Ethiopia_Model_2019,River001,1.0
