REGION,TECHNOLOGY,VALUE
Ethiopia_Model_2019,BackStop1,99999.0
Ethiopia_Model_2019,BackStop2,99999.0
Ethiopia_Model_2019,EXPELC001,99999.0
Ethiopia_Model_2019,GEO,99999.0
Ethiopia_Model_2019,IMPCOA,99999.0
Ethiopia_Model_2019,IMPCRU001,99999.0
Ethiopia_Model_2019,MINBIO001,99999.0
Ethiopia_Model_2019,MINCOA,8700.0
Ethiopia_Model_2019,MINCRU001,10590.58
Ethiopia_Model_2019,MINNGS,8440446.821
Ethiopia_Model_2019,PWRBIO001,99999.0
Ethiopia_Model_2019,PWRCOA001,99999.0
Ethiopia_Model_2019,PWRGEO001,99999.0
Ethiopia_Model_2019,PWRHFO001,99999.0
Ethiopia_Model_2019,PWRHYD001,99999.0
Ethiopia_Model_2019,PWRHYD002,99999.0
Ethiopia_Model_2019,PWRNGS001,99999.0
Ethiopia_Model_2019,PWRSOL001,99999.0
Ethiopia_Model_2019,PWRTRN001,99999.0
Ethiopia_Model_2019,PWRTRNE001,99999.0
Ethiopia_Model_2019,PWRWND001,99999.0
Ethiopia_Model_2019,PVSmall,99999.0
Ethiopia_Model_2019,River001,99999.0
