REGION,TECHNOLOGY,STORAGE,MODE_OF_OPERATION,VALUE
SIERRALEONE,HDRO_DAM_PP,RESERVIOUR,1,1.0
SIERRALEONE,HDRO_DAM_PP,RESERVIOUR,2,0.0
