REGION,FUEL,TIMESLICE,YEAR,VALUE
UGANDA,RESELC01,OPDS,2018,0.1644
UGANDA,RESELC01,OPDS,2019,0.1644
UGANDA,RESELC01,OPDS,2020,0.1644
UGANDA,RESELC01,OPDS,2021,0.1644
UGANDA,RESELC01,OPDS,2022,0.1644
UGANDA,RESELC01,OPDS,2023,0.1644
UGANDA,RESELC01,OPDS,2024,0.1644
UGANDA,RESELC01,OPDS,2025,0.1644
UGANDA,RESELC01,OPDS,2026,0.1644
UGANDA,RESELC01,OPDS,2027,0.1644
UGANDA,RESELC01,OPDS,2028,0.1644
UGANDA,RESELC01,OPDS,2029,0.1644
UGANDA,RESELC01,OPDS,2030,0.1644
UGANDA,RESELC01,OPDS,2031,0.1644
UGANDA,RESELC01,OPDS,2032,0.1644
UGANDA,RESELC01,OPDS,2033,0.1644
UGANDA,RESELC01,OPDS,2034,0.1644
UGANDA,RESELC01,OPDS,2035,0.1644
UGANDA,RESELC01,OPDS,2036,0.1644
UGANDA,RESELC01,OPDS,2037,0.1644
UGANDA,RESELC01,OPDS,2038,0.1644
UGANDA,RESELC01,OPDS,2039,0.1644
UGANDA,RESELC01,OPDS,2040,0.1644
UGANDA,RESELC01,OPRS,2018,0.083
UGANDA,RESELC01,OPRS,2019,0.083
UGANDA,RESELC01,OPRS,2020,0.083
UGANDA,RESELC01,OPRS,2021,0.083
UGANDA,RESELC01,OPRS,2022,0.083
UGANDA,RESELC01,OPRS,2023,0.083
UGANDA,RESELC01,OPRS,2024,0.083
UGANDA,RESELC01,OPRS,2025,0.083
UGANDA,RESELC01,OPRS,2026,0.083
UGANDA,RESELC01,OPRS,2027,0.083
UGANDA,RESELC01,OPRS,2028,0.083
UGANDA,RESELC01,OPRS,2029,0.083
UGANDA,RESELC01,OPRS,2030,0.083
UGANDA,RESELC01,OPRS,2031,0.083
UGANDA,RESELC01,OPRS,2032,0.083
UGANDA,RESELC01,OPRS,2033,0.083
UGANDA,RESELC01,OPRS,2034,0.083
UGANDA,RESELC01,OPRS,2035,0.083
UGANDA,RESELC01,OPRS,2036,0.083
UGANDA,RESELC01,OPRS,2037,0.083
UGANDA,RESELC01,OPRS,2038,0.083
UGANDA,RESELC01,OPRS,2039,0.083
UGANDA,RESELC01,OPRS,2040,0.083
UGANDA,RESELC01,PDS,2018,0.1512
UGANDA,RESELC01,PDS,2019,0.1512
UGANDA,RESELC01,PDS,2020,0.1512
UGANDA,RESELC01,PDS,2021,0.1512
UGANDA,RESELC01,PDS,2022,0.1512
UGANDA,RESELC01,PDS,2023,0.1512
UGANDA,RESELC01,PDS,2024,0.1512
UGANDA,RESELC01,PDS,2025,0.1512
UGANDA,RESELC01,PDS,2026,0.1512
UGANDA,RESELC01,PDS,2027,0.1512
UGANDA,RESELC01,PDS,2028,0.1512
UGANDA,RESELC01,PDS,2029,0.1512
UGANDA,RESELC01,PDS,2030,0.1512
UGANDA,RESELC01,PDS,2031,0.1512
UGANDA,RESELC01,PDS,2032,0.1512
UGANDA,RESELC01,PDS,2033,0.1512
UGANDA,RESELC01,PDS,2034,0.1512
UGANDA,RESELC01,PDS,2035,0.1512
UGANDA,RESELC01,PDS,2036,0.1512
UGANDA,RESELC01,PDS,2037,0.1512
UGANDA,RESELC01,PDS,2038,0.1512
UGANDA,RESELC01,PDS,2039,0.1512
UGANDA,RESELC01,PDS,2040,0.1512
UGANDA,RESELC01,PRS,2018,0.0765
UGANDA,RESELC01,PRS,2019,0.0765
UGANDA,RESELC01,PRS,2020,0.0765
UGANDA,RESELC01,PRS,2021,0.0765
UGANDA,RESELC01,PRS,2022,0.0765
UGANDA,RESELC01,PRS,2023,0.0765
UGANDA,RESELC01,PRS,2024,0.0765
UGANDA,RESELC01,PRS,2025,0.0765
UGANDA,RESELC01,PRS,2026,0.0765
UGANDA,RESELC01,PRS,2027,0.0765
UGANDA,RESELC01,PRS,2028,0.0765
UGANDA,RESELC01,PRS,2029,0.0765
UGANDA,RESELC01,PRS,2030,0.0765
UGANDA,RESELC01,PRS,2031,0.0765
UGANDA,RESELC01,PRS,2032,0.0765
UGANDA,RESELC01,PRS,2033,0.0765
UGANDA,RESELC01,PRS,2034,0.0765
UGANDA,RESELC01,PRS,2035,0.0765
UGANDA,RESELC01,PRS,2036,0.0765
UGANDA,RESELC01,PRS,2037,0.0765
UGANDA,RESELC01,PRS,2038,0.0765
UGANDA,RESELC01,PRS,2039,0.0765
UGANDA,RESELC01,PRS,2040,0.0765
UGANDA,RESELC01,SD,2018,0.3447
UGANDA,RESELC01,SD,2019,0.3447
UGANDA,RESELC01,SD,2020,0.3447
UGANDA,RESELC01,SD,2021,0.3447
UGANDA,RESELC01,SD,2022,0.3447
UGANDA,RESELC01,SD,2023,0.3447
UGANDA,RESELC01,SD,2024,0.3447
UGANDA,RESELC01,SD,2025,0.3447
UGANDA,RESELC01,SD,2026,0.3447
UGANDA,RESELC01,SD,2027,0.3447
UGANDA,RESELC01,SD,2028,0.3447
UGANDA,RESELC01,SD,2029,0.3447
UGANDA,RESELC01,SD,2030,0.3447
UGANDA,RESELC01,SD,2031,0.3447
UGANDA,RESELC01,SD,2032,0.3447
UGANDA,RESELC01,SD,2033,0.3447
UGANDA,RESELC01,SD,2034,0.3447
UGANDA,RESELC01,SD,2035,0.3447
UGANDA,RESELC01,SD,2036,0.3447
UGANDA,RESELC01,SD,2037,0.3447
UGANDA,RESELC01,SD,2038,0.3447
UGANDA,RESELC01,SD,2039,0.3447
UGANDA,RESELC01,SD,2040,0.3447
UGANDA,RESELC01,SR,2018,0.1801
UGANDA,RESELC01,SR,2019,0.1801
UGANDA,RESELC01,SR,2020,0.1801
UGANDA,RESELC01,SR,2021,0.1801
UGANDA,RESELC01,SR,2022,0.1801
UGANDA,RESELC01,SR,2023,0.1801
